name,sub_category,brand,unit_price,discount,discount_price,pix_discount,pix_price,code,link
Creme Firmador de Bumbum DermoNano com 120g,Creme para Estrias,generico,"R$ 45,99",0%,"R$ 45,07",-2,"R$ 45,07",Cód: 1043257,https://www.farmaponte.com.br/creme-firmador-de-bumbum-dermonano-com-120g/p
Massageol Aerossol 120mL,Reumatismo,Neo Química,,,"R$ 31,56",-47,"R$ 31,56",Cód: 181013,https://www.farmaponte.com.br/massageol-0333ml-0333g-00083g-tubo-aerossol-com-120ml-de-solucao-de-uso-dermatologico/p
Shampoo 3 em 1 Cebolinha Kids 260ml,Shampoo Infantil,generico,"R$ 17,99",0%,"R$ 17,63",-2,"R$ 17,63",Cód: 1051512,https://www.farmaponte.com.br/shampoo-3-em-1-cebolinha-kids-260ml/p
Shampoo Tío Nacho Antiqueda Ginseng 415ml,Shampoo,generico,"R$ 37,99",0%,"R$ 37,23",-2,"R$ 37,23",Cód: 1052675,https://www.farmaponte.com.br/shampoo-tio-nacho-antiqueda-ginseng-415ml/p
Kit Talheres Aço Inox Hot   Cold Happy Rosa Fisher Price - BB1124,Talher e Prato Infantil,generico,,,"R$ 13,81",-2,"R$ 13,81",Cód: 1050114,https://www.farmaponte.com.br/kit-talheres-aco-inox-hot-cold-happy-rosa-fisher-price-bb1124/p
"Candicort 20Mg G + 0,64Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Corticóide Tópico,Aché,"R$ 46,35",10%,"R$ 40,89",-12,"R$ 40,89",Cód: 48321,https://www.farmaponte.com.br/candicort-20mgg-064mgg-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-dermatologico/p
"Nordette 0,15Mg + 0,03Mg, Caixa Com 21 Drageas",Anticoncepcional,Wyeth/Pfizer,"R$ 13,76",18%,"R$ 11,05",-20,"R$ 11,05",Cód: 25780,https://www.farmaponte.com.br/nordette-015mg-003mg-caixa-com-21-drageas/p
Chupeta Mam Air 6+ Meses Boys Desenhos Sortidos Ref 2831,Chupeta,MAM,"R$ 53,19",0%,"R$ 52,13",-2,"R$ 52,13",Cód: 1033194,https://www.farmaponte.com.br/chupeta-mam-air-6-meses-lagartinha-azul-com-1-unidade/p
"Gastrol 185mg + 231,5mg + 178mg, blíster com 10 pastilhas",Digestivo,Neo Química,,,"R$ 8,97",-2,"R$ 8,97",Cód: 1027553,https://www.farmaponte.com.br/gastrol-10past/p
"Óleo Protetor Solar Corporal Cenoura & Bronze FPS 15, spray com 110mL",Bronzeadores,Cenoura & Bronze,,,"R$ 26,68",-2,"R$ 26,68",Cód: 1037718,https://www.farmaponte.com.br/oleo-protetor-solar-cenoura-amp-bronze-110ml/p
Kit Shampoo + Condicionador 260ml Magali Turma Da Monica,Kit Shampoo e Condicionador Infantil,generico,"R$ 32,99",0%,"R$ 32,33",-2,"R$ 32,33",Cód: 1051456,https://www.farmaponte.com.br/kit-shampoo-condicionador-260ml-magali-turma-da-monica/p
Shampoo Granado Bebê Calêndula 250ml,Sabonete Líquido Infantil,generico,"R$ 18,09",12%,"R$ 15,67",-13,"R$ 15,67",Cód: 1047727,https://www.farmaponte.com.br/shampoo-granado-bebe-calendula-250ml/p
Batom Líquido Matte Dailus Pro 12 horas nº 104 pecado,Batom,Dailus,,,"R$ 12,73",-33,"R$ 12,73",Cód: 1026848,https://www.farmaponte.com.br/batom-liquido-dailus-pro-12-horas-no-104-pecado/p
Sérum Facial Antirrugas L Oréal Paris Revitalift Retinol Noturno 30mL,Rosto,generico,"R$ 101,73",0%,"R$ 99,70",-2,"R$ 99,70",Cód: 1046658,https://www.farmaponte.com.br/serum-noite-loreal-paris-revitalift-retinol-com-30ml/p
Petivit BC Xarope 240mL,Orexígeno,generico,"R$ 27,37",39%,"R$ 16,29",-40,"R$ 16,29",Cód: 1002434,https://www.farmaponte.com.br/petivit-bc-xarope-240ml/p
Colonia Thipos Feminina  Theor 074 30 Ml,Colônias,generico,,,"R$ 29,30",-12,"R$ 29,30",Cód: 1034233,https://www.farmaponte.com.br/col-thipos-fem-theor-074-30ml/p
Tintura Casting Gloss N300 Castanho Escuro,Coloração,L'Oréal Paris,"R$ 42,58",13%,"R$ 36,25",-15,"R$ 36,25",Cód: 799370,https://www.farmaponte.com.br/t-casting-gloss-n300-castanho-escuro/p
Synthroid 112Mcg 30 Comprimidos,Tratamento De Distúrbios Hormonais,Abbott do Brasil,"R$ 55,85",6%,"R$ 51,45",-8,"R$ 51,45",Cód: 54208,https://www.farmaponte.com.br/synthroid-112mcg-30cpr/p
Profuse Nutrel Solucao Micelar 120Ml,Rosto,generico,,,"R$ 26,99",-7,"R$ 26,99",Cód: 1041297,https://www.farmaponte.com.br/profuse-nutrel-solucao-micelar-120ml/p
Bico de Mamadeira Mam Ortodôntico em Silicone Silk Touch Antivazamento Fluxo Rápido 4+ Meses com 1 Unidade,Bico de Mamadeira,MAM,"R$ 40,49",0%,"R$ 39,68",-2,"R$ 39,68",Cód: 1033165,https://www.farmaponte.com.br/bico-de-mamadeira-mam-4-meses-fluxo-rapido-antivazamento-1-unidade/p
"Levoid 112Mcg, Caixa Contendo 30 Comprimidos",Tratamento De Distúrbios Hormonais,Aché,"R$ 34,41",14%,"R$ 29,00",-16,"R$ 29,00",Cód: 798269,https://www.farmaponte.com.br/levoid-112mcg-caixa-contendo-30-comprimidos/p
